Date,School District,New Positive Students 
12/31/2021,Fargo Public School District,3
1/1/2022,Fargo Public School District,2
1/2/2022,Fargo Public School District,5
1/3/2022,Fargo Public School District,24
1/4/2022,Fargo Public School District,15
1/5/2022,Fargo Public School District,29
1/6/2022,Fargo Public School District,33
1/7/2022,Fargo Public School District,25
1/8/2022,Fargo Public School District,13
1/9/2022,Fargo Public School District,6
1/10/2022,Fargo Public School District,85
1/11/2022,Fargo Public School District,72
1/12/2022,Fargo Public School District,84
1/13/2022,Fargo Public School District,48
1/14/2022,Fargo Public School District,47
1/15/2022,Fargo Public School District,18
1/16/2022,Fargo Public School District,8
1/17/2022,Fargo Public School District,77
1/18/2022,Fargo Public School District,67
1/19/2022,Fargo Public School District,56
1/20/2022,Fargo Public School District,45
1/21/2022,Fargo Public School District,40
1/22/2022,Fargo Public School District,11
1/23/2022,Fargo Public School District,9
1/24/2022,Fargo Public School District,70
1/25/2022,Fargo Public School District,47
1/26/2022,Fargo Public School District,40
1/27/2022,Fargo Public School District,42
1/28/2022,Fargo Public School District,34
1/29/2022,Fargo Public School District,10
1/30/2022,Fargo Public School District,2
1/31/2022,Fargo Public School District,38
2/1/2022,Fargo Public School District,14
2/2/2022,Fargo Public School District,13
2/3/2022,Fargo Public School District,11
2/4/2022,Fargo Public School District,10
2/5/2022,Fargo Public School District,3
2/6/2022,Fargo Public School District,0
2/7/2022,Fargo Public School District,5
2/8/2022,Fargo Public School District,6
2/9/2022,Fargo Public School District,5
2/10/2022,Fargo Public School District,4
2/11/2022,Fargo Public School District,0
2/12/2022,Fargo Public School District,2
2/13/2022,Fargo Public School District,1
2/14/2022,Fargo Public School District,1
2/15/2022,Fargo Public School District,0
2/16/2022,Fargo Public School District,0
2/17/2022,Fargo Public School District,2
2/18/2022,Fargo Public School District,2
2/19/2022,Fargo Public School District,0
2/20/2022,Fargo Public School District,1
2/21/2022,Fargo Public School District,3
2/22/2022,Fargo Public School District,2
2/23/2022,Fargo Public School District,2
2/24/2022,Fargo Public School District,0
2/25/2022,Fargo Public School District,1
2/26/2022,Fargo Public School District,1
2/27/2022,Fargo Public School District,0
2/28/2022,Fargo Public School District,0
3/1/2022,Fargo Public School District,0
3/2/2022,Fargo Public School District,0
